Name,phi,D,L,D_trommel,J,Jb,l_l,N_l,w_l,Db,F80,mu,porosity,beta_lifter,beta_ball,rho_c,rho_s,discharge_is_grate,Power,Ai
Test,0,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,0,0.4
Test,0.1,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,372.8,0.4
Test,0.2,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,799.11,0.5
Test,0.3,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,1232.85,0.7
Test,0.4,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,1677.08,0.7
Test,0.5,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,2163.59,0.4
Test,0.6,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,2717.35,0.7
Test,0.7,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,3354.65,0.5
Test,0.75,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,3713.14,0.5
Test,0.8,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,4104.65,0.5
Test,0.85,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,4535.38,0.4
Test,0.9,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,4999.45,0.4
Test,0.95,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,4939.85,0.4
Test,0.99,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,4239.24,0.5
Test,1,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,3923.92,0.7
Test,1.01,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,3827.18,0.5
Test,1.05,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,2476.33,0.4
Test,1.07,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,1788.11,0.7
Test,1.1,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,2.8,0.4
Test,1.15,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,2.93,0.6
Test,1.2,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,3.07,0.7
Test,0.75,7.7,3.35,1.925,0.15,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,2119,0.5
Test,0.75,7.7,3.35,1.925,0.2,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,2628,0.5
Test,0.75,7.7,3.35,1.925,0.25,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,3176,0.5
Test,0.75,7.7,3.35,1.925,0.3,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,3717,0.5
Test,0.75,7.7,3.35,1.925,0.35,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,4194,0.5
Test,0.75,7.7,3.35,1.925,0.4,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,4505,0.5
Test,0.75,7.7,3.35,1.925,0.45,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,4563,0.5
Test,0.75,7.7,3.35,1.925,0.5,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,4373,0.5
Test,0.75,7.7,3.35,1.925,0.55,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,4373,0.5
Test,0.75,7.7,3.35,1.925,0.6,0.135,0.385,22,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,4373,0.5
